# ---------- 01 Per-Channel Summary ----------
chA: 2 chB: 3 | avgC: 7.91236 avgA: 32.0517 avgB: 106.589 MNR: 0.200263 GNR: 0.112925 DICE: 0.0963682
chA: 2 chB: 4 | avgC: 2.02948 avgA: 32.2222 avgB: 16.059 MNR: 0.0940226 GNR: 0.066508 DICE: 0.0623027
chA: 3 chB: 4 | avgC: 6.13152 avgA: 107.293 avgB: 16.059 MNR: 0.274051 GNR: 0.112321 DICE: 0.080961

# ---------- 12 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.447439 avgA: 6.42588 avgB: 51.4097 MNR: 0.0489191 GNR: 0.0176041 DICE: 0.0120334
chA: 0 chB: 2 | avgC: 2.03235 avgA: 6.42588 avgB: 31.407 MNR: 0.237126 GNR: 0.110461 DICE: 0.0855776
chA: 0 chB: 3 | avgC: 2.2345 avgA: 6.42588 avgB: 105.819 MNR: 0.329716 GNR: 0.0787298 DICE: 0.0373595
chA: 0 chB: 4 | avgC: 1.03261 avgA: 6.46467 avgB: 15.9973 MNR: 0.142639 GNR: 0.0977711 DICE: 0.0905535
chA: 1 chB: 2 | avgC: 3.25056 avgA: 44.8713 avgB: 30.1738 MNR: 0.119974 GNR: 0.0809399 DICE: 0.0741427
chA: 1 chB: 3 | avgC: 26 avgA: 44.8713 avgB: 96.3228 MNR: 0.455638 GNR: 0.257375 DICE: 0.219845
chA: 1 chB: 4 | avgC: 2.14123 avgA: 45.2096 avgB: 14.795 MNR: 0.107542 GNR: 0.0585155 DICE: 0.0491183
chA: 2 chB: 3 | avgC: 7.33483 avgA: 30.0742 avgB: 95.9101 MNR: 0.18933 GNR: 0.104161 DICE: 0.0876315
chA: 2 chB: 4 | avgC: 1.53288 avgA: 30.2562 avgB: 14.7392 MNR: 0.0647403 GNR: 0.0462364 DICE: 0.0434826
chA: 3 chB: 4 | avgC: 4.99093 avgA: 96.4898 avgB: 14.7392 MNR: 0.259617 GNR: 0.089387 DICE: 0.0568339

# ---------- 13 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 2.84119 avgA: 13.9876 avgB: 78.6774 MNR: 0.202415 GNR: 0.0775288 DICE: 0.0531281
chA: 0 chB: 2 | avgC: 2.96985 avgA: 14.0327 avgB: 35.1533 MNR: 0.232415 GNR: 0.112969 DICE: 0.0893652
chA: 0 chB: 3 | avgC: 3.34243 avgA: 14.1836 avgB: 125.672 MNR: 0.2458 GNR: 0.0661652 DICE: 0.0356082
chA: 0 chB: 4 | avgC: 2.44526 avgA: 14.1314 avgB: 22.9367 MNR: 0.173318 GNR: 0.120949 DICE: 0.112677
chA: 1 chB: 2 | avgC: 5.32547 avgA: 74.9387 avgB: 34.0259 MNR: 0.108019 GNR: 0.0691304 DICE: 0.0625514
chA: 1 chB: 3 | avgC: 37.3808 avgA: 74.3341 avgB: 120.418 MNR: 0.4062 GNR: 0.265813 DICE: 0.242512
chA: 1 chB: 4 | avgC: 4.69266 avgA: 73.6009 avgB: 21.8784 MNR: 0.157785 GNR: 0.0828003 DICE: 0.0682651
chA: 2 chB: 3 | avgC: 10.9722 avgA: 33.529 avgB: 119.664 MNR: 0.223337 GNR: 0.119363 DICE: 0.0993333
chA: 2 chB: 4 | avgC: 2.86343 avgA: 33.4537 avgB: 21.5463 MNR: 0.0904012 GNR: 0.0691414 DICE: 0.0664049
chA: 3 chB: 4 | avgC: 7.87643 avgA: 118.071 avgB: 21.5721 MNR: 0.260139 GNR: 0.104795 DICE: 0.0734699

# ---------- 14 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.574713 avgA: 10.7088 avgB: 65.4368 MNR: 0.0466074 GNR: 0.0177101 DICE: 0.0128342
chA: 0 chB: 2 | avgC: 2.9053 avgA: 10.6023 avgB: 29.9242 MNR: 0.286279 GNR: 0.169739 DICE: 0.147625
chA: 0 chB: 3 | avgC: 3.19318 avgA: 10.6023 avgB: 119.008 MNR: 0.266957 GNR: 0.0918141 DICE: 0.0617446
chA: 0 chB: 4 | avgC: 1.23462 avgA: 10.7192 avgB: 24.2308 MNR: 0.104973 GNR: 0.0738124 DICE: 0.0685157
chA: 1 chB: 2 | avgC: 3.1465 avgA: 55.8217 avgB: 26.9363 MNR: 0.0727548 GNR: 0.0450091 DICE: 0.0400403
chA: 1 chB: 3 | avgC: 30.927 avgA: 55.6571 avgB: 103.93 MNR: 0.358026 GNR: 0.228692 DICE: 0.205883
chA: 1 chB: 4 | avgC: 3 avgA: 57.1275 avgB: 21.2614 MNR: 0.12973 GNR: 0.0723708 DICE: 0.061396
chA: 2 chB: 3 | avgC: 7.59633 avgA: 26.0765 avgB: 100.245 MNR: 0.193563 GNR: 0.101724 DICE: 0.083861
chA: 2 chB: 4 | avgC: 2.02508 avgA: 26.5768 avgB: 20.5674 MNR: 0.0770833 GNR: 0.0602491 DICE: 0.0581511
chA: 3 chB: 4 | avgC: 6.13793 avgA: 102.367 avgB: 20.5674 MNR: 0.22129 GNR: 0.0889163 DICE: 0.0627239

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.980535 avgA: 6.30414 avgB: 52.5377 MNR: 0.186875 GNR: 0.078631 DICE: 0.0581311
chA: 0 chB: 2 | avgC: 2.27007 avgA: 6.30414 avgB: 38.9805 MNR: 0.343893 GNR: 0.130211 DICE: 0.088625
chA: 0 chB: 3 | avgC: 2.80049 avgA: 6.30414 avgB: 117.448 MNR: 0.484631 GNR: 0.109383 DICE: 0.0519109
chA: 0 chB: 4 | avgC: 0.532847 avgA: 6.30414 avgB: 20.5572 MNR: 0.07427 GNR: 0.039913 DICE: 0.0334923
chA: 1 chB: 2 | avgC: 3.89663 avgA: 49.191 avgB: 37.0562 MNR: 0.13622 GNR: 0.0919409 DICE: 0.0844556
chA: 1 chB: 3 | avgC: 28.4427 avgA: 49.191 avgB: 110.618 MNR: 0.518516 GNR: 0.29524 DICE: 0.255328
chA: 1 chB: 4 | avgC: 2.2912 avgA: 49.3431 avgB: 19.3296 MNR: 0.0989417 GNR: 0.0540244 DICE: 0.0453866
chA: 2 chB: 3 | avgC: 10.6787 avgA: 37.0562 avgB: 110.618 MNR: 0.256723 GNR: 0.152503 DICE: 0.13355
chA: 2 chB: 4 | avgC: 1.87359 avgA: 37.1535 avgB: 19.3296 MNR: 0.0785086 GNR: 0.0550551 DICE: 0.0514252
chA: 3 chB: 4 | avgC: 6.48533 avgA: 110.984 avgB: 19.3296 MNR: 0.288134 GNR: 0.113002 DICE: 0.07836

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.744318 avgA: 7.23295 avgB: 86.8693 MNR: 0.0603483 GNR: 0.0148668 DICE: 0.00711843
chA: 0 chB: 2 | avgC: 2.77273 avgA: 7.23295 avgB: 32.5284 MNR: 0.248277 GNR: 0.109079 DICE: 0.0806082
chA: 0 chB: 3 | avgC: 2.46023 avgA: 7.23295 avgB: 144.892 MNR: 0.248454 GNR: 0.0506099 DICE: 0.0211365
chA: 0 chB: 4 | avgC: 0.886364 avgA: 7.23295 avgB: 21.0909 MNR: 0.0847125 GNR: 0.0463507 DICE: 0.0391339
chA: 1 chB: 2 | avgC: 3.12587 avgA: 55.6993 avgB: 24.6538 MNR: 0.0682072 GNR: 0.0407045 DICE: 0.0356449
chA: 1 chB: 3 | avgC: 32.1678 avgA: 55.6993 avgB: 102.71 MNR: 0.349605 GNR: 0.210187 DICE: 0.185516
chA: 1 chB: 4 | avgC: 2.70463 avgA: 56.6548 avgB: 16.0605 MNR: 0.0926305 GNR: 0.0425359 DICE: 0.0324899
chA: 2 chB: 3 | avgC: 6.86195 avgA: 23.8956 avgB: 99.1448 MNR: 0.159573 GNR: 0.0768786 DICE: 0.0603567
chA: 2 chB: 4 | avgC: 1.76712 avgA: 24.2397 avgB: 15.5822 MNR: 0.0584478 GNR: 0.0431162 DICE: 0.0409972
chA: 3 chB: 4 | avgC: 6.31164 avgA: 100.668 avgB: 15.5822 MNR: 0.228541 GNR: 0.0867331 DICE: 0.058888

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.708661 avgA: 6.28346 avgB: 47.4882 MNR: 0.113645 GNR: 0.0510549 DICE: 0.0392405
chA: 0 chB: 2 | avgC: 2.14436 avgA: 6.28346 avgB: 33.5381 MNR: 0.323192 GNR: 0.140382 DICE: 0.103733
chA: 0 chB: 3 | avgC: 1.61942 avgA: 6.28346 avgB: 116.63 MNR: 0.235986 GNR: 0.0492886 DICE: 0.0209479
chA: 0 chB: 4 | avgC: 0.605263 avgA: 6.29737 avgB: 23.3342 MNR: 0.0819103 GNR: 0.0449811 DICE: 0.0381253
chA: 1 chB: 2 | avgC: 2.68849 avgA: 42.07 avgB: 30.4537 MNR: 0.110693 GNR: 0.0756139 DICE: 0.0697096
chA: 1 chB: 3 | avgC: 22.4289 avgA: 42.07 avgB: 106.621 MNR: 0.33348 GNR: 0.174197 DICE: 0.145589
chA: 1 chB: 4 | avgC: 2.15646 avgA: 42.2245 avgB: 21.2245 MNR: 0.102474 GNR: 0.0555566 DICE: 0.0465265
chA: 2 chB: 3 | avgC: 7.77079 avgA: 30.3326 avgB: 106.373 MNR: 0.268306 GNR: 0.118682 DICE: 0.0918632
chA: 2 chB: 4 | avgC: 1.83973 avgA: 30.4086 avgB: 21.1738 MNR: 0.0880819 GNR: 0.0566717 DICE: 0.0514152
chA: 3 chB: 4 | avgC: 5.70203 avgA: 106.749 avgB: 21.1738 MNR: 0.207656 GNR: 0.08754 DICE: 0.0639751

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 1.58108 avgA: 10.3649 avgB: 192.851 MNR: 0.127167 GNR: 0.0309305 DICE: 0.0143505
chA: 0 chB: 2 | avgC: 6.15789 avgA: 10.1316 avgB: 54.7237 MNR: 0.621925 GNR: 0.277305 DICE: 0.20744
chA: 0 chB: 3 | avgC: 4.90789 avgA: 10.1316 avgB: 264.329 MNR: 0.484178 GNR: 0.106993 DICE: 0.0493144
chA: 0 chB: 4 | avgC: 1.90541 avgA: 10.3514 avgB: 34.0811 MNR: 0.198093 GNR: 0.110272 DICE: 0.0938375
chA: 1 chB: 2 | avgC: 3.08086 avgA: 45.4987 avgB: 27.8652 MNR: 0.102672 GNR: 0.0600323 DICE: 0.052271
chA: 1 chB: 3 | avgC: 25.7197 avgA: 45.4987 avgB: 87.8814 MNR: 0.351103 GNR: 0.205647 DICE: 0.17951
chA: 1 chB: 4 | avgC: 2.79221 avgA: 54.4318 avgB: 16.9805 MNR: 0.103241 GNR: 0.0588455 DICE: 0.0503394
chA: 2 chB: 3 | avgC: 6.21412 avgA: 24.5103 avgB: 76.2346 MNR: 0.143787 GNR: 0.0875729 DICE: 0.0773159
chA: 2 chB: 4 | avgC: 2.21283 avgA: 29.6764 avgB: 15.4198 MNR: 0.0885763 GNR: 0.065487 DICE: 0.0622528
chA: 3 chB: 4 | avgC: 5.81341 avgA: 93.9738 avgB: 15.4198 MNR: 0.216063 GNR: 0.0887697 DICE: 0.0637373

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 0.778426 avgA: 4.87464 avgB: 53.309 MNR: 0.136401 GNR: 0.0641176 DICE: 0.050803
chA: 0 chB: 2 | avgC: 2.70262 avgA: 4.87464 avgB: 38.9854 MNR: 0.52982 GNR: 0.175353 DICE: 0.108495
chA: 0 chB: 3 | avgC: 1.8863 avgA: 4.87464 avgB: 124.743 MNR: 0.305562 GNR: 0.0588274 DICE: 0.0224809
